source,year,id,sol,sunlon,beta,vg,e,q,inc,peri_norm,node
CAMS,2011,06365,35.825258664969176,-150.76457514276842,6.341902690574261,37.3,0.941,0.086,19.8,332.3,35.7
CAMS,2011,06505,36.83564324107923,-149.16704794562588,7.281588167215828,38.92,0.955,0.07,26.9,334.9,36.7
CAMS,2012,058095,37.573125613327036,-148.93004458778785,6.7230360197543915,37.15,0.943,0.075,22.5,334.9,37.4
CAMS,2012,058253,38.53467482692017,-150.03324814592838,7.00509126414782,39.82,0.961,0.069,26.5,334.3,38.4
CAMS,2012,058294,38.597239213799895,-149.50999051304393,7.699146912857178,38.19,0.948,0.077,26.6,333.8,38.4
CAMS,2012,058420,39.57400318615553,-151.249826342941,6.876974316705725,37.31,0.94,0.091,20.8,331.2,39.4
Shober-EDMOND,2014,_20140429_213504,39.288082,-149.431713,7.340482,37.77375,0.945308,0.078842,24.621737,333.736786,39.288521
Shober-EDMOND,2016,_20160425_025942,35.119793,-149.24371000000002,6.632064,40.151093,0.964256,0.061603,26.763119,335.829803,35.119762
Shober-EDMOND,2016,_20160428_020032,37.876171,-149.640148,6.111973,36.524609,0.93739,0.08314,19.117397,333.652893,37.876141
Shober-EDMOND,2017,_20170425_235432,35.717541,-149.38674600000002,6.979021,39.005722,0.955418,0.070241,25.592995,334.661713,35.718208
Shober-EDMOND,2017,_20170426_024406,35.832203,-149.04958,7.277458,38.655663,0.952665,0.071171,26.340977,334.785461,35.832851
Shober-EDMOND,2022,_20220428_215139,38.283501,-150.423653,7.602987,37.230995,0.937964,0.0906,23.420803,331.669861,38.284245
SonotaCo,2022,2022/04/25T13:17:27,35.0164,-149.5062855168258,7.746268477024233,37.916,0.9447,0.081,25.8528,333.3439,35.0172
SonotaCo,2022,2022/04/29T17:13:16,39.0678,-149.87033604681858,7.251313200378356,38.025,0.9467,0.08,24.2578,333.2165,39.0684
SonotaCo,2023,2023/04/27T13:08:10,36.7079,-149.66110021864336,7.146350400980614,37.01,0.9389,0.084,22.6284,333.1467,36.708
SonotaCo,2025,2025/04/29T16:19:30,39.2486,-149.5636139302389,7.633057904312515,36.222,0.9308,0.091,22.8862,332.5923,39.2491
