unique_trajectory_identifier,beginning_utc_time,iau_code,sol_lon_deg,lamgeo_deg,betgeo_deg,vgeo_km_s,e,q_au,i_deg,peri_deg,node_deg,sigma_9,sigma_15,sigma_10,sigma_11,sigma_12,medianfiterr_arcsec,num_stat,participating_stations,label,event_id,canonical_target_member,timestamp_key,trajectory_ids,trajectory_count
20220425071033_4Wc6B,2022-04-25 07:10:33.803549,,34.768228,245.57217,6.61123,41.43505,0.971868,0.055257,29.193442,336.554918,34.774429,0.0001,0.0007,0.5857,0.1879,0.0002,56.54,6,"['US0002', 'US0004', 'US000A', 'US000J', 'US000P', 'USL00V']",SPORADIC,20220425071033_4Wc6B,False,20220425071033,20220425071033_4Wc6B,1
20220425100930_QG7RH,2022-04-25 10:09:30.126124,,34.889266,246.0053,6.96634,37.34661,0.943646,0.07615,23.414081,334.652316,34.899447,0.0027,0.006,0.9424,1.2333,0.0004,55.28,7,"['US000U', 'USL004', 'USL005', 'USL008', 'USL00C', 'USL00G', 'USL00M']",SPORADIC,20220425100930_QG7RH,True,20220425100930,20220425100930_QG7RH,1
20220425214316_g1mDj,2022-04-25 21:43:16.375296,,35.35848,246.54056,7.39992,37.41408,0.943143,0.077089,24.853026,334.468645,35.366903,0.0002,0.0002,0.0692,0.0424,0.0,9.77,2,"['RU000M', 'RU0013']",SPORADIC,20220425214316_g1mDj,True,20220425214316,20220425214316_g1mDj,1
20220427103501_S8NEe,2022-04-27 10:35:01.806772,,36.853651,247.34103,7.29682,39.40306,0.9573,0.070287,27.111133,334.390985,36.862568,0.0055,0.0069,1.3365,1.1134,0.0004,58.68,2,"['MX000B', 'MX000C']",SPORADIC,20220427103501_S8NEe,True,20220427103501,20220427103501_S8NEe,1
20220427212848_4FpBh,2022-04-27 21:28:48.126253,,37.295403,247.88619,7.32508,37.10216,0.939618,0.082719,23.51063,333.451406,37.304363,0.0003,0.0004,0.1395,0.06,0.0001,7.53,2,"['RU000M', 'RU0013']",SPORADIC,20220427212848_4FpBh,True,20220427212848,20220427212848_4FpBh,1
20220428055316_V9cWu,2022-04-28 05:53:16.998967,,37.636214,248.51664,7.47577,37.67188,0.944547,0.077908,25.180957,334.071739,37.639425,0.0016,0.0025,1.4319,0.4571,0.0003,43.58,2,"['BR000F', 'BR000Q']",SPORADIC,20220428055316_V9cWu,True,20220428055316,20220428055316_V9cWu,1
20220428084048_l3J68,2022-04-28 08:40:48.603711,,37.749377,248.53409,7.80998,37.92234,0.945385,0.078658,26.427882,333.75749,37.757502,0.0014,0.0022,0.6803,0.4192,0.0002,84.17,6,"['US0022', 'USL00A', 'USL00B', 'USL00E', 'USL012', 'USV003']",SPORADIC,20220428084048_l3J68,True,20220428084048,20220428084048_l3J68,1
20220428224619_5jOdt,2022-04-28 22:46:19.027480,,38.320414,248.21524,6.43467,38.06235,0.948554,0.078278,21.655571,333.438226,38.330062,0.0008,0.0006,1.4557,0.0795,0.0007,62.55,2,"['HR000G', 'HR001H']",SPORADIC,20220428224619_5jOdt,True,20220428224619,20220428224619_5jOdt,1
20220430011410_9nBEV,2022-04-30 01:14:10.209095,,39.392372,249.72875,7.74139,36.21727,0.930148,0.091832,23.057948,332.351354,39.402937,0.0011,0.0022,0.5394,0.4167,0.0003,42.88,2,"['HR000V', 'HR0025']",SPORADIC,20220430011410_9nBEV,True,20220430011410,20220430011410_9nBEV,1
20220430064940_Xyt8z,2022-04-30 06:49:40.941465,,39.618802,249.04188,8.56297,37.38734,0.936451,0.095272,25.985426,330.715542,39.625652,0.0059,0.011,1.0602,2.2097,0.0004,157.35,4,"['USL00J', 'USL00X', 'USL011', 'USL012']",SPORADIC,20220430064940_Xyt8z,True,20220430064940,20220430064940_Xyt8z,1
