event_id,date,time,spacecraft,reference_paper,timestamp,literature_label,is_guide_field_study,is_canonical
EDR001,2015-09-08,11:01:20.370,MMS3,Eriksson_et_al._[2016],2015-09-08 11:01:20.370000+00:00,large-guide-field anchor,True,False
EDR002,2015-09-09,08:43:58.650,MMS3,Lenouvel_et_al._[2021],2015-09-09 08:43:58.650000+00:00,,False,False
EDR003,2015-09-09,13:00:22.090,MMS4,Lenouvel_et_al._[2021],2015-09-09 13:00:22.090000+00:00,,False,False
EDR004,2015-09-09,14:28:50.630,MMS3,Lenouvel_et_al._[2021],2015-09-09 14:28:50.630000+00:00,,False,False
EDR005,2015-09-11,10:13:35.340,MMS3,Lenouvel_et_al._[2021],2015-09-11 10:13:35.340000+00:00,,False,False
EDR006,2015-09-14,16:17:50.520,MMS2,Lenouvel_et_al._[2021],2015-09-14 16:17:50.520000+00:00,,False,False
EDR007,2015-09-19,07:43:30.319,MMS3,Chen_et_al._[2016],2015-09-19 07:43:30.319000+00:00,,False,False
EDR008,2015-09-19,09:26:27.750,MMS3,Lenouvel_et_al._[2021],2015-09-19 09:26:27.750000+00:00,,False,False
EDR009,2015-09-22,13:41:31.360,MMS3,Lenouvel_et_al._[2021],2015-09-22 13:41:31.360000+00:00,,False,False
EDR010,2015-09-23,09:09:38.300,MMS4,Lenouvel_et_al._[2021],2015-09-23 09:09:38.300000+00:00,,False,False
EDR011,2015-10-01,06:53:43.110,MMS2,Lenouvel_et_al._[2021],2015-10-01 06:53:43.110000+00:00,,False,False
EDR012,2015-10-06,14:17:54.960,MMS1,Lenouvel_et_al._[2021],2015-10-06 14:17:54.960000+00:00,,False,False
EDR013,2015-10-16,10:33:30.266,MMS1,Norgren_et_al._[2016],2015-10-16 10:33:30.266000+00:00,,False,False
EDR014,2015-10-16,13:07:02.200,MMS2,Burch_et_al._[2016],2015-10-16 13:07:02.200000+00:00,,False,True
EDR015,2015-10-22,06:05:21.800,MMS1,Phan_et_al._[2016],2015-10-22 06:05:21.800000+00:00,,False,False
EDR016,2015-11-01,15:08:06.600,MMS4,Fuselier_et_al._[2017],2015-11-01 15:08:06.600000+00:00,,False,False
EDR017,2015-11-12,07:19:21.150,MMS1,Fuselier_et_al._[2017],2015-11-12 07:19:21.150000+00:00,,False,False
EDR018,2015-12-02,01:17:02.670,MMS1,Lenouvel_et_al._[2021],2015-12-02 01:17:02.670000+00:00,,False,False
EDR019,2015-12-06,23:38:31.618,MMS4,Khotyaintsev_et_al._[2016],2015-12-06 23:38:31.618000+00:00,,False,False
EDR020,2015-12-08,11:20:43.330,MMS1,Burch_and_Phan_[2016],2015-12-08 11:20:43.330000+00:00,,False,False
EDR021,2015-12-09,01:06:11.500,MMS2,Webster_et_al._[2018],2015-12-09 01:06:11.500000+00:00,,False,False
EDR022,2015-12-13,09:43:19.030,MMS1,Dong_et_al._[2021],2015-12-13 09:43:19.030000+00:00,,False,False
EDR023,2015-12-14,01:17:39.650,MMS1,"Chen_et_al._[2017],_Ergun_et_al._[2017],_Graham_et_al._[2017]",2015-12-14 01:17:39.650000+00:00,intermediate-guide-field anchor,True,False
EDR024,2016-01-02,23:46:17.110,MMS4,Lenouvel_et_al._[2021],2016-01-02 23:46:17.110000+00:00,,False,False
EDR025,2016-01-07,09:36:15.420,MMS3,Webster_et_al._[2018],2016-01-07 09:36:15.420000+00:00,,False,False
EDR026,2016-01-07,22:11:37.600,MMS4,Lenouvel_et_al._[2021],2016-01-07 22:11:37.600000+00:00,,False,False
EDR027,2016-01-07,22:12:20.570,MMS3,Lenouvel_et_al._[2021],2016-01-07 22:12:20.570000+00:00,,False,False
EDR028,2016-01-10,09:13:36.800,MMS4,Fuselier_et_al._[2017],2016-01-10 09:13:36.800000+00:00,,False,False
EDR029,2016-02-05,22:19:46.280,MMS1,Lenouvel_et_al._[2021],2016-02-05 22:19:46.280000+00:00,,False,False
EDR030,2016-02-07,20:23:34.930,MMS1,Fuselier_et_al._[2017],2016-02-07 20:23:34.930000+00:00,,False,False
EDR031,2016-02-11,02:01:04.000,MMS3,Lenouvel_et_al._[2021],2016-02-11 02:01:04+00:00,,False,False
EDR032,2016-02-14,20:41:56.160,MMS2,Lenouvel_et_al._[2021],2016-02-14 20:41:56.160000+00:00,,False,False
EDR033,2016-02-19,18:42:38.330,MMS1,Lenouvel_et_al._[2021],2016-02-19 18:42:38.330000+00:00,,False,False
EDR034,2016-02-28,01:07:33.700,MMS3,Lenouvel_et_al._[2021],2016-02-28 01:07:33.700000+00:00,,False,False
EDR035,2016-09-28,14:25:47.660,MMS2,Lenouvel_(unpublished),2016-09-28 14:25:47.660000+00:00,,False,False
EDR036,2016-09-28,18:39:27.730,MMS1,Lenouvel_(unpublished),2016-09-28 18:39:27.730000+00:00,,False,False
EDR037,2016-09-28,18:43:44.640,MMS2,Lenouvel_(unpublished),2016-09-28 18:43:44.640000+00:00,,False,False
EDR038,2016-10-13,11:24:28.740,MMS2,Lenouvel_(unpublished),2016-10-13 11:24:28.740000+00:00,,False,False
EDR039,2016-10-13,11:29:53.089,MMS1,Lenouvel_(unpublished),2016-10-13 11:29:53.089000+00:00,,False,False
EDR040,2016-10-16,17:37:13.960,MMS1,Lenouvel_(unpublished),2016-10-16 17:37:13.960000+00:00,,False,False
EDR041,2016-10-22,12:58:40.880,MMS2,Webster_et_al._[2018],2016-10-22 12:58:40.880000+00:00,,False,False
EDR042,2016-10-22,13:01:31.080,MMS2,Lenouvel_(unpublished),2016-10-22 13:01:31.080000+00:00,,False,False
EDR043,2016-11-02,14:46:18.150,MMS4,Webster_et_al._[2018],2016-11-02 14:46:18.150000+00:00,,False,False
EDR044,2016-11-06,08:40:58.000,MMS2,Webster_et_al._[2018],2016-11-06 08:40:58+00:00,,False,False
EDR045,2016-11-12,17:48:44.900,MMS2,Webster_et_al._[2018],2016-11-12 17:48:44.900000+00:00,,False,False
EDR046,2016-11-13,09:10:40.770,MMS4,Webster_et_al._[2018],2016-11-13 09:10:40.770000+00:00,,False,False
EDR047,2016-11-13,15:25:34.340,MMS1,Lenouvel_(unpublished),2016-11-13 15:25:34.340000+00:00,,False,False
EDR048,2016-11-14,13:13:20.560,MMS1,Lenouvel_(unpublished),2016-11-14 13:13:20.560000+00:00,,False,False
EDR049,2016-11-18,12:08:11.000,MMS2,Webster_et_al._[2018],2016-11-18 12:08:11+00:00,,False,False
EDR050,2016-11-23,07:49:33.000,MMS2,Webster_et_al._[2018],2016-11-23 07:49:33+00:00,,False,False
EDR051,2016-11-23,07:49:52.000,MMS4,Webster_et_al._[2018],2016-11-23 07:49:52+00:00,,False,False
EDR052,2016-11-23,07:50:30.000,MMS1,Webster_et_al._[2018],2016-11-23 07:50:30+00:00,,False,False
EDR053,2016-11-27,06:45:40.800,MMS1,Lenouvel_(unpublished),2016-11-27 06:45:40.800000+00:00,,False,False
EDR054,2016-11-28,07:36:55.450,MMS1,Genestreti_et_al._[2018],2016-11-28 07:36:55.450000+00:00,,False,False
EDR055,2016-11-28,15:46:59.830,MMS2,Webster_et_al._[2018],2016-11-28 15:46:59.830000+00:00,,False,False
