event_id,timestamp,spacecraft,success,failure_reason,cache_path,attempted_at_utc,resolved_variables,native_cadences,valid_fractions
EDR001,2015-09-08T11:01:20.370000+00:00,MMS3,True,,/Users/Brandon/Desktop/isef/reconnectid-pilot/data/cache/events/EDR001.npz,2026-07-22T20:55:22.848593+00:00,"{""B"": ""mms3_fgm_b_gse_brst_l2_bvec"", ""E"": ""mms3_edp_dce_gse_brst_l2"", ""ve"": ""mms3_des_bulkv_gse_brst"", ""ne"": ""mms3_des_numberdensity_brst"", ""Pe"": ""mms3_des_prestensor_gse_brst"", ""vi"": ""mms3_dis_bulkv_gse_brst"", ""ni"": ""mms3_dis_numberdensity_brst""}","{""B"": 0.0078125, ""E"": 0.0001220703125, ""ve"": 0.029999971389770508, ""ne"": 0.029999971389770508, ""Pe"": 0.029999971389770508, ""vi"": 0.15000009536743164, ""ni"": 0.15000009536743164}","{""B"": 1.0, ""E"": 1.0, ""ve"": 1.0, ""ne"": 1.0, ""Pe"": 1.0, ""vi"": 1.0, ""ni"": 1.0}"
EDR003,2015-09-09T13:00:22.090000+00:00,MMS4,True,,/Users/Brandon/Desktop/isef/reconnectid-pilot/data/cache/events/EDR003.npz,2026-07-22T20:57:29.230460+00:00,"{""B"": ""mms4_fgm_b_gse_brst_l2_bvec"", ""E"": ""mms4_edp_dce_gse_brst_l2"", ""ve"": ""mms4_des_bulkv_gse_brst"", ""ne"": ""mms4_des_numberdensity_brst"", ""Pe"": ""mms4_des_prestensor_gse_brst"", ""vi"": ""mms4_dis_bulkv_gse_brst"", ""ni"": ""mms4_dis_numberdensity_brst""}","{""B"": 0.0078125, ""E"": 0.0001220703125, ""ve"": 0.029999971389770508, ""ne"": 0.029999971389770508, ""Pe"": 0.029999971389770508, ""vi"": 0.15000009536743164, ""ni"": 0.15000009536743164}","{""B"": 1.0, ""E"": 1.0, ""ve"": 1.0, ""ne"": 1.0, ""Pe"": 1.0, ""vi"": 1.0, ""ni"": 1.0}"
EDR007,2015-09-19T07:43:30.319000+00:00,MMS3,True,,/Users/Brandon/Desktop/isef/reconnectid-pilot/data/cache/events/EDR007.npz,2026-07-22T20:58:23.768341+00:00,"{""B"": ""mms3_fgm_b_gse_brst_l2_bvec"", ""E"": ""mms3_edp_dce_gse_brst_l2"", ""ve"": ""mms3_des_bulkv_gse_brst"", ""ne"": ""mms3_des_numberdensity_brst"", ""Pe"": ""mms3_des_prestensor_gse_brst"", ""vi"": ""mms3_dis_bulkv_gse_brst"", ""ni"": ""mms3_dis_numberdensity_brst""}","{""B"": 0.0078125, ""E"": 0.0001220703125, ""ve"": 0.029999971389770508, ""ne"": 0.029999971389770508, ""Pe"": 0.029999971389770508, ""vi"": 0.15000009536743164, ""ni"": 0.15000009536743164}","{""B"": 1.0, ""E"": 1.0, ""ve"": 1.0, ""ne"": 1.0, ""Pe"": 1.0, ""vi"": 1.0, ""ni"": 1.0}"
EDR011,2015-10-01T06:53:43.110000+00:00,MMS2,True,,/Users/Brandon/Desktop/isef/reconnectid-pilot/data/cache/events/EDR011.npz,2026-07-22T20:59:16.867467+00:00,"{""B"": ""mms2_fgm_b_gse_brst_l2_bvec"", ""E"": ""mms2_edp_dce_gse_brst_l2"", ""ve"": ""mms2_des_bulkv_gse_brst"", ""ne"": ""mms2_des_numberdensity_brst"", ""Pe"": ""mms2_des_prestensor_gse_brst"", ""vi"": ""mms2_dis_bulkv_gse_brst"", ""ni"": ""mms2_dis_numberdensity_brst""}","{""B"": 0.0078125, ""E"": 0.0001220703125, ""ve"": 0.029999971389770508, ""ne"": 0.029999971389770508, ""Pe"": 0.029999971389770508, ""vi"": 0.15000009536743164, ""ni"": 0.15000009536743164}","{""B"": 1.0, ""E"": 1.0, ""ve"": 1.0, ""ne"": 1.0, ""Pe"": 1.0, ""vi"": 1.0, ""ni"": 1.0}"
EDR013,2015-10-16T10:33:30.266000+00:00,MMS1,True,,/Users/Brandon/Desktop/isef/reconnectid-pilot/data/cache/events/EDR013.npz,2026-07-22T20:59:32.675441+00:00,"{""B"": ""mms1_fgm_b_gse_brst_l2_bvec"", ""E"": ""mms1_edp_dce_gse_brst_l2"", ""ve"": ""mms1_des_bulkv_gse_brst"", ""ne"": ""mms1_des_numberdensity_brst"", ""Pe"": ""mms1_des_prestensor_gse_brst"", ""vi"": ""mms1_dis_bulkv_gse_brst"", ""ni"": ""mms1_dis_numberdensity_brst""}","{""B"": 0.0078125, ""E"": 0.0001220703125, ""ve"": 0.029999971389770508, ""ne"": 0.029999971389770508, ""Pe"": 0.029999971389770508, ""vi"": 0.15000009536743164, ""ni"": 0.15000009536743164}","{""B"": 1.0, ""E"": 1.0, ""ve"": 1.0, ""ne"": 1.0, ""Pe"": 1.0, ""vi"": 1.0, ""ni"": 1.0}"
EDR014,2015-10-16T13:07:02.200000+00:00,MMS2,True,,/Users/Brandon/Desktop/isef/reconnectid-pilot/data/cache/events/EDR014.npz,2026-07-22T20:55:26.890200+00:00,"{""B"": ""mms2_fgm_b_gse_brst_l2_bvec"", ""E"": ""mms2_edp_dce_gse_brst_l2"", ""ve"": ""mms2_des_bulkv_gse_brst"", ""ne"": ""mms2_des_numberdensity_brst"", ""Pe"": ""mms2_des_prestensor_gse_brst"", ""vi"": ""mms2_dis_bulkv_gse_brst"", ""ni"": ""mms2_dis_numberdensity_brst""}","{""B"": 0.0078125, ""E"": 0.0001220703125, ""ve"": 0.029999971389770508, ""ne"": 0.029999971389770508, ""Pe"": 0.029999971389770508, ""vi"": 0.15000009536743164, ""ni"": 0.15000009536743164}","{""B"": 1.0, ""E"": 1.0, ""ve"": 1.0, ""ne"": 1.0, ""Pe"": 1.0, ""vi"": 1.0, ""ni"": 1.0}"
EDR015,2015-10-22T06:05:21.800000+00:00,MMS1,True,,/Users/Brandon/Desktop/isef/reconnectid-pilot/data/cache/events/EDR015.npz,2026-07-22T21:00:04.876808+00:00,"{""B"": ""mms1_fgm_b_gse_brst_l2_bvec"", ""E"": ""mms1_edp_dce_gse_brst_l2"", ""ve"": ""mms1_des_bulkv_gse_brst"", ""ne"": ""mms1_des_numberdensity_brst"", ""Pe"": ""mms1_des_prestensor_gse_brst"", ""vi"": ""mms1_dis_bulkv_gse_brst"", ""ni"": ""mms1_dis_numberdensity_brst""}","{""B"": 0.0078125, ""E"": 0.0001220703125, ""ve"": 0.029999971389770508, ""ne"": 0.029999971389770508, ""Pe"": 0.029999971389770508, ""vi"": 0.15000009536743164, ""ni"": 0.15000009536743164}","{""B"": 1.0, ""E"": 1.0, ""ve"": 1.0, ""ne"": 1.0, ""Pe"": 1.0, ""vi"": 1.0, ""ni"": 1.0}"
EDR017,2015-11-12T07:19:21.150000+00:00,MMS1,True,,/Users/Brandon/Desktop/isef/reconnectid-pilot/data/cache/events/EDR017.npz,2026-07-22T21:00:15.825320+00:00,"{""B"": ""mms1_fgm_b_gse_brst_l2_bvec"", ""E"": ""mms1_edp_dce_gse_brst_l2"", ""ve"": ""mms1_des_bulkv_gse_brst"", ""ne"": ""mms1_des_numberdensity_brst"", ""Pe"": ""mms1_des_prestensor_gse_brst"", ""vi"": ""mms1_dis_bulkv_gse_brst"", ""ni"": ""mms1_dis_numberdensity_brst""}","{""B"": 0.0078125, ""E"": 0.0001220703125, ""ve"": 0.029999971389770508, ""ne"": 0.029999971389770508, ""Pe"": 0.029999971389770508, ""vi"": 0.15000009536743164, ""ni"": 0.15000009536743164}","{""B"": 1.0, ""E"": 1.0, ""ve"": 1.0, ""ne"": 1.0, ""Pe"": 1.0, ""vi"": 1.0, ""ni"": 1.0}"
EDR018,2015-12-02T01:17:02.670000+00:00,MMS1,True,,/Users/Brandon/Desktop/isef/reconnectid-pilot/data/cache/events/EDR018.npz,2026-07-22T21:00:43.904714+00:00,"{""B"": ""mms1_fgm_b_gse_brst_l2_bvec"", ""E"": ""mms1_edp_dce_gse_brst_l2"", ""ve"": ""mms1_des_bulkv_gse_brst"", ""ne"": ""mms1_des_numberdensity_brst"", ""Pe"": ""mms1_des_prestensor_gse_brst"", ""vi"": ""mms1_dis_bulkv_gse_brst"", ""ni"": ""mms1_dis_numberdensity_brst""}","{""B"": 0.0078125, ""E"": 0.0001220703125, ""ve"": 0.029999971389770508, ""ne"": 0.029999971389770508, ""Pe"": 0.029999971389770508, ""vi"": 0.15000009536743164, ""ni"": 0.15000009536743164}","{""B"": 1.0, ""E"": 1.0, ""ve"": 1.0, ""ne"": 1.0, ""Pe"": 1.0, ""vi"": 1.0, ""ni"": 1.0}"
EDR019,2015-12-06T23:38:31.618000+00:00,MMS4,True,,/Users/Brandon/Desktop/isef/reconnectid-pilot/data/cache/events/EDR019.npz,2026-07-22T21:02:31.206571+00:00,"{""B"": ""mms4_fgm_b_gse_brst_l2_bvec"", ""E"": ""mms4_edp_dce_gse_brst_l2"", ""ve"": ""mms4_des_bulkv_gse_brst"", ""ne"": ""mms4_des_numberdensity_brst"", ""Pe"": ""mms4_des_prestensor_gse_brst"", ""vi"": ""mms4_dis_bulkv_gse_brst"", ""ni"": ""mms4_dis_numberdensity_brst""}","{""B"": 0.0078125, ""E"": 0.0001220703125, ""ve"": 0.029999971389770508, ""ne"": 0.029999971389770508, ""Pe"": 0.029999971389770508, ""vi"": 0.15000009536743164, ""ni"": 0.15000009536743164}","{""B"": 1.0, ""E"": 1.0, ""ve"": 1.0, ""ne"": 1.0, ""Pe"": 1.0, ""vi"": 1.0, ""ni"": 1.0}"
