event_id,date,time,spacecraft,reference_paper,timestamp,literature_label,is_guide_field_study,is_canonical,selection_method
EDR001,2015-09-08,11:01:20.370,MMS3,Eriksson_et_al._[2016],2015-09-08 11:01:20.370000+00:00,large-guide-field anchor,True,False,required+seeded_farthest_stratification
EDR003,2015-09-09,13:00:22.090,MMS4,Lenouvel_et_al._[2021],2015-09-09 13:00:22.090000+00:00,,False,False,required+seeded_farthest_stratification
EDR007,2015-09-19,07:43:30.319,MMS3,Chen_et_al._[2016],2015-09-19 07:43:30.319000+00:00,,False,False,required+seeded_farthest_stratification
EDR011,2015-10-01,06:53:43.110,MMS2,Lenouvel_et_al._[2021],2015-10-01 06:53:43.110000+00:00,,False,False,required+seeded_farthest_stratification
EDR013,2015-10-16,10:33:30.266,MMS1,Norgren_et_al._[2016],2015-10-16 10:33:30.266000+00:00,,False,False,required+seeded_farthest_stratification
EDR014,2015-10-16,13:07:02.200,MMS2,Burch_et_al._[2016],2015-10-16 13:07:02.200000+00:00,,False,True,required+seeded_farthest_stratification
EDR015,2015-10-22,06:05:21.800,MMS1,Phan_et_al._[2016],2015-10-22 06:05:21.800000+00:00,,False,False,required+seeded_farthest_stratification
EDR017,2015-11-12,07:19:21.150,MMS1,Fuselier_et_al._[2017],2015-11-12 07:19:21.150000+00:00,,False,False,required+seeded_farthest_stratification
EDR018,2015-12-02,01:17:02.670,MMS1,Lenouvel_et_al._[2021],2015-12-02 01:17:02.670000+00:00,,False,False,required+seeded_farthest_stratification
EDR019,2015-12-06,23:38:31.618,MMS4,Khotyaintsev_et_al._[2016],2015-12-06 23:38:31.618000+00:00,,False,False,required+seeded_farthest_stratification
EDR020,2015-12-08,11:20:43.330,MMS1,Burch_and_Phan_[2016],2015-12-08 11:20:43.330000+00:00,,False,False,required+seeded_farthest_stratification
EDR021,2015-12-09,01:06:11.500,MMS2,Webster_et_al._[2018],2015-12-09 01:06:11.500000+00:00,,False,False,required+seeded_farthest_stratification
EDR022,2015-12-13,09:43:19.030,MMS1,Dong_et_al._[2021],2015-12-13 09:43:19.030000+00:00,,False,False,required+seeded_farthest_stratification
EDR023,2015-12-14,01:17:39.650,MMS1,"Chen_et_al._[2017],_Ergun_et_al._[2017],_Graham_et_al._[2017]",2015-12-14 01:17:39.650000+00:00,intermediate-guide-field anchor,True,False,required+seeded_farthest_stratification
EDR025,2016-01-07,09:36:15.420,MMS3,Webster_et_al._[2018],2016-01-07 09:36:15.420000+00:00,,False,False,required+seeded_farthest_stratification
EDR028,2016-01-10,09:13:36.800,MMS4,Fuselier_et_al._[2017],2016-01-10 09:13:36.800000+00:00,,False,False,required+seeded_farthest_stratification
EDR034,2016-02-28,01:07:33.700,MMS3,Lenouvel_et_al._[2021],2016-02-28 01:07:33.700000+00:00,,False,False,required+seeded_farthest_stratification
EDR035,2016-09-28,14:25:47.660,MMS2,Lenouvel_(unpublished),2016-09-28 14:25:47.660000+00:00,,False,False,required+seeded_farthest_stratification
EDR041,2016-10-22,12:58:40.880,MMS2,Webster_et_al._[2018],2016-10-22 12:58:40.880000+00:00,,False,False,required+seeded_farthest_stratification
EDR054,2016-11-28,07:36:55.450,MMS1,Genestreti_et_al._[2018],2016-11-28 07:36:55.450000+00:00,,False,False,required+seeded_farthest_stratification
EDR060,2016-12-24,15:03:32.000,MMS1,Li_et_al._[2020],2016-12-24 15:03:32+00:00,,False,False,required+seeded_farthest_stratification
EDR064,2017-01-07,08:09:55.230,MMS1,Lenouvel_(unpublished),2017-01-07 08:09:55.230000+00:00,,False,False,required+seeded_farthest_stratification
EDR066,2017-01-11,04:22:43.130,MMS4,Webster_et_al._[2018],2017-01-11 04:22:43.130000+00:00,,False,False,required+seeded_farthest_stratification
EDR072,2017-01-27,12:05:43.150,MMS1,Cozzani_et_al._[2019],2017-01-27 12:05:43.150000+00:00,,False,False,required+seeded_farthest_stratification
