CurNum,Tobs,RA,DE,VG,LS,LO,LA,SCLO,Sode
00001,2022-04-25-10:09:30,245.365639,-14.44447,37.34661,34.889266,246.0053,6.96634,211.116034,GMN trajectory catalogue
00002,2022-04-25-21:43:16,245.979982,-14.104553,37.41408,35.35848,246.54056,7.39992,211.18208,GMN trajectory catalogue
00003,2022-04-27-10:35:01,246.771228,-14.333911,39.40306,36.853651,247.34103,7.29682,210.487379,GMN trajectory catalogue
00004,2022-04-27-21:28:48,247.327095,-14.390558,37.10216,37.295403,247.88619,7.32508,210.590787,GMN trajectory catalogue
00005,2022-04-28-05:53:16,247.98864,-14.33696,37.67188,37.636214,248.51664,7.47577,210.880426,GMN trajectory catalogue
00006,2022-04-28-08:40:48,248.058048,-14.009138,37.92234,37.749377,248.53409,7.80998,210.784713,GMN trajectory catalogue
00007,2022-04-28-22:46:19,247.519345,-15.320622,38.06235,38.320414,248.21524,6.43467,209.894826,GMN trajectory catalogue
00008,2022-04-30-01:14:10,249.255218,-14.249946,36.21727,39.392372,249.72875,7.74139,210.336378,GMN trajectory catalogue
00009,2022-04-30-06:49:40,248.684409,-13.338904,37.38734,39.618802,249.04188,8.56297,209.423078,GMN trajectory catalogue
00010,2022-04-30-08:57:01,249.481454,-15.415157,36.87235,39.704731,250.11288,6.61876,210.408149,GMN trajectory catalogue
00011,2023-04-25-02:07:23,245.133386,-14.245978,36.70763,34.313781,245.74823,7.12426,211.434449,GMN trajectory catalogue
00012,2023-04-26-16:45:46,246.814591,-12.958269,35.54906,35.881789,247.16317,8.66179,211.281381,GMN trajectory catalogue
00013,2023-04-27-11:48:42,245.840902,-15.212221,36.40099,36.65424,246.5893,6.28516,209.93506,GMN trajectory catalogue
00014,2023-04-28-07:37:17,246.419223,-14.783584,39.44796,37.457155,247.07425,6.79864,209.617095,GMN trajectory catalogue
00015,2023-04-28-14:58:55,247.988393,-15.760145,38.29228,37.755387,248.73158,6.06868,210.976193,GMN trajectory catalogue
00016,2023-04-29-09:03:17,248.879493,-15.431582,37.28628,38.487422,249.53706,6.51992,211.049638,GMN trajectory catalogue
00017,2023-04-29-15:47:13,247.884368,-14.646615,37.82582,38.760031,248.46305,7.15444,209.703019,GMN trajectory catalogue
00018,2023-04-30-11:25:10,248.751953,-14.631192,37.89602,39.554738,249.29755,7.29404,209.742812,GMN trajectory catalogue
00019,2024-04-26-05:39:39,246.969357,-13.974395,36.78791,36.151014,247.47523,7.68212,211.324216,GMN trajectory catalogue
00020,2024-04-26-08:01:41,246.131163,-15.390237,37.12275,36.246959,246.89633,6.15511,210.649371,GMN trajectory catalogue
00021,2024-04-26-17:47:06,247.334448,-13.639793,35.02836,36.642392,247.7761,8.06791,211.133708,GMN trajectory catalogue
00022,2024-04-26-17:51:19,247.251339,-14.406742,36.77625,36.645246,247.81563,7.29773,211.170384,GMN trajectory catalogue
00023,2024-04-26-23:49:06,248.55154,-15.240208,36.83661,36.886871,249.19406,6.66329,212.307189,GMN trajectory catalogue
00024,2024-04-28-08:50:39,246.754925,-15.060486,38.95837,38.224626,247.44106,6.57689,209.216434,GMN trajectory catalogue
00025,2024-04-28-12:35:39,248.843393,-12.852503,36.69336,38.376468,249.12514,9.06675,210.748672,GMN trajectory catalogue
00026,2024-04-28-13:23:11,248.139734,-14.382895,40.12267,38.408545,248.66954,7.45229,210.260995,GMN trajectory catalogue
00027,2024-04-28-13:27:23,247.679846,-14.760102,37.59801,38.411387,248.28334,7.01228,209.871953,GMN trajectory catalogue
00028,2024-04-29-00:54:04,247.834227,-14.524966,37.85142,38.87473,248.39617,7.26736,209.52144,GMN trajectory catalogue
00029,2024-04-29-00:57:52,248.333614,-15.040898,38.17536,38.877295,248.955,6.82947,210.077705,GMN trajectory catalogue
00030,2024-04-29-08:56:26,249.90655,-14.344524,35.26074,39.200156,250.3728,7.73614,211.172644,GMN trajectory catalogue
00031,2024-04-29-15:24:11,248.144101,-14.463258,38.13281,39.461709,248.68586,7.37346,209.224151,GMN trajectory catalogue
00032,2024-04-30-04:48:13,249.856273,-14.498809,35.91741,40.003979,250.34563,7.57661,210.341651,GMN trajectory catalogue
00033,2025-04-24-01:49:38,242.862474,-13.187441,39.55997,33.79407,243.37025,7.7783,209.57618,GMN trajectory catalogue
00034,2025-04-24-11:33:55,244.876623,-13.841582,38.2332,34.189492,245.43165,7.4806,211.242158,GMN trajectory catalogue
00035,2025-04-24-20:52:12,243.793329,-12.869242,37.80698,34.567261,244.21314,8.25481,209.645879,GMN trajectory catalogue
00036,2025-04-25-06:17:34,246.332394,-14.816758,36.37856,34.949737,246.99617,6.75242,212.046433,GMN trajectory catalogue
00037,2025-04-25-06:36:25,245.68821,-13.797693,37.63267,34.96249,246.20797,7.6561,211.24548,GMN trajectory catalogue
00038,2025-04-25-09:21:49,244.507924,-13.386865,39.56823,35.074376,244.99671,7.86709,209.922334,GMN trajectory catalogue
00039,2025-04-25-09:41:15,247.343689,-13.795053,36.62078,35.087524,247.80932,7.91591,212.721796,GMN trajectory catalogue
00040,2025-04-25-13:52:39,246.525111,-13.527971,36.12586,35.257565,246.97368,8.05449,211.716115,GMN trajectory catalogue
00041,2025-04-25-15:07:58,246.476473,-12.824813,39.2947,35.308503,246.81247,8.74096,211.503967,GMN trajectory catalogue
00042,2025-04-26-15:26:59,245.707734,-15.14262,37.62138,36.29505,246.45025,6.33271,210.1552,GMN trajectory catalogue
00043,2025-04-26-23:23:57,247.074892,-13.405414,37.09791,36.617458,247.4874,8.26014,210.869942,GMN trajectory catalogue
00044,2025-04-27-10:17:26,247.099057,-13.38725,37.43939,37.059102,247.50799,8.28176,210.448888,GMN trajectory catalogue
00045,2025-04-27-11:12:29,247.338017,-14.931017,38.13158,37.096292,247.98083,6.79274,210.884538,GMN trajectory catalogue
00046,2025-04-27-14:35:35,247.212657,-14.401211,37.31953,37.233529,247.77745,7.29738,210.543921,GMN trajectory catalogue
00047,2025-04-27-16:38:49,246.893627,-13.754926,36.63561,37.316799,247.3671,7.88729,210.050301,GMN trajectory catalogue
00048,2025-04-28-02:03:57,247.679144,-14.317618,38.33222,37.698592,248.21474,7.4495,210.516148,GMN trajectory catalogue
00049,2025-04-28-02:17:07,247.429653,-15.540708,35.3517,37.707483,248.16323,6.20393,210.455747,GMN trajectory catalogue
00050,2025-04-28-02:29:50,247.091716,-14.736498,39.0362,37.716079,247.71352,6.94796,209.997441,GMN trajectory catalogue
00051,2025-04-28-03:46:14,248.291964,-14.511482,38.93427,37.76768,248.83584,7.34708,211.06816,GMN trajectory catalogue
00052,2025-04-28-06:09:58,248.0666,-14.342601,38.60749,37.864768,248.59281,7.48153,210.728042,GMN trajectory catalogue
00053,2025-04-28-06:32:43,247.566341,-14.310715,38.30469,37.880139,248.10474,7.43963,210.224601,GMN trajectory catalogue
00054,2025-04-28-07:44:46,247.764318,-14.428191,37.95809,37.928809,248.31393,7.35276,210.385121,GMN trajectory catalogue
00055,2025-04-28-16:58:03,247.209178,-14.953069,38.99637,38.302471,247.86042,6.75169,209.557949,GMN trajectory catalogue
00056,2025-04-28-19:31:44,248.592323,-14.938169,35.65278,38.406249,249.18877,6.96784,210.782521,GMN trajectory catalogue
00057,2025-04-28-20:37:53,248.446601,-14.392931,39.01224,38.450916,248.96751,7.48647,210.516594,GMN trajectory catalogue
00058,2025-04-29-00:18:47,247.514964,-15.037404,39.00217,38.600068,248.16738,6.7139,209.567312,GMN trajectory catalogue
00059,2025-04-29-04:40:16,249.212458,-15.05264,37.43023,38.776609,249.80255,6.94097,211.025941,GMN trajectory catalogue
00060,2025-04-29-05:16:26,248.650984,-14.464849,37.31712,38.801026,249.17562,7.44437,210.374594,GMN trajectory catalogue
00061,2025-04-29-06:16:07,248.306966,-13.080267,38.53481,38.841312,248.63566,8.76458,209.794348,GMN trajectory catalogue
00062,2025-04-29-07:10:25,247.961638,-14.565527,36.58472,38.87797,248.52524,7.24587,209.64727,GMN trajectory catalogue
00063,2025-04-29-20:56:04,249.469673,-14.515874,37.59731,39.435264,249.97418,7.50752,210.538916,GMN trajectory catalogue
00064,2025-04-29-21:46:58,248.878834,-14.804401,38.2375,39.469616,249.44524,7.14044,209.975624,GMN trajectory catalogue
00065,2025-04-29-22:45:26,249.232157,-15.214921,37.19999,39.509065,249.84474,6.78304,210.335675,GMN trajectory catalogue
00066,2025-04-30-17:31:53,249.552131,-14.770648,37.80229,40.269068,250.0899,7.26647,209.820832,GMN trajectory catalogue
00067,2026-04-23-11:20:20,241.843215,-13.639919,37.10128,32.95845,242.47275,7.14917,209.5143,GMN trajectory catalogue
00068,2026-04-23-14:23:39,242.325429,-14.293386,39.90538,33.082562,243.05919,6.59508,209.976628,GMN trajectory catalogue
