year,unique_trajectory_identifier,beginning_utc_time,night_date,sol_lon_deg,ra_deg,dec_deg,vgeo_km_s,lamgeo_deg,sc_lon_deg,betgeo_deg,e,q_au,i_deg,peri_deg,node_deg
2022,20220425100930_QG7RH,2022-04-25 10:09:30.126124,2022-04-25,34.889266,245.36563944470677,-14.444470356745018,37.34661,246.0053,211.116034,6.96634,0.943646,0.07615,23.414081,334.652316,34.899447
2022,20220425214316_g1mDj,2022-04-25 21:43:16.375296,2022-04-25,35.35848,245.97998202956686,-14.10455293594468,37.41408,246.54056,211.18207999999998,7.39992,0.943143,0.077089,24.853026,334.468645,35.366903
2022,20220427103501_S8NEe,2022-04-27 10:35:01.806772,2022-04-27,36.853651,246.77122789540363,-14.333911137004863,39.40306,247.34103,210.48737899999998,7.29682,0.9573,0.070287,27.111133,334.390985,36.862568
2022,20220427212848_4FpBh,2022-04-27 21:28:48.126253,2022-04-27,37.295403,247.32709520447432,-14.39055815826096,37.10216,247.88619,210.590787,7.32508,0.939618,0.082719,23.51063,333.451406,37.304363
2022,20220428055316_V9cWu,2022-04-28 05:53:16.998967,2022-04-28,37.636214,247.98863981761252,-14.336959622898483,37.67188,248.51664,210.880426,7.47577,0.944547,0.077908,25.180957,334.071739,37.639425
2022,20220428084048_l3J68,2022-04-28 08:40:48.603711,2022-04-28,37.749377,248.05804775726358,-14.009138315560296,37.92234,248.53409,210.78471299999998,7.80998,0.945385,0.078658,26.427882,333.75749,37.757502
2022,20220428224619_5jOdt,2022-04-28 22:46:19.027480,2022-04-28,38.320414,247.51934534453966,-15.320621741868038,38.06235,248.21524,209.894826,6.43467,0.948554,0.078278,21.655571,333.438226,38.330062
2022,20220430011410_9nBEV,2022-04-30 01:14:10.209095,2022-04-30,39.392372,249.25521799296772,-14.249946094721812,36.21727,249.72875,210.336378,7.74139,0.930148,0.091832,23.057948,332.351354,39.402937
2022,20220430064940_Xyt8z,2022-04-30 06:49:40.941465,2022-04-30,39.618802,248.68440898144536,-13.338903991340882,37.38734,249.04188,209.42307799999998,8.56297,0.936451,0.095272,25.985426,330.715542,39.625652
2022,20220430085701_wz5l2,2022-04-30 08:57:01.152127,2022-04-30,39.704731,249.48145432950474,-15.415157355105169,36.87235,250.11288,210.40814899999998,6.61876,0.939382,0.08252,21.044893,333.548314,39.715678
2023,20230425020723_Ke8PF,2023-04-25 02:07:23.067093,2023-04-25,34.313781,245.13338597714386,-14.245978073324679,36.70763,245.74823,211.434449,7.12426,0.938689,0.078522,23.190155,334.689116,34.323453
2023,20230426164546_Bl5Dk,2023-04-26 16:45:46.211967,2023-04-26,35.881789,246.81459053007381,-12.958269255761225,35.54906,247.16317,211.281381,8.66179,0.923045,0.093459,25.241158,332.848943,35.885661
2023,20230427114842_eeUr9,2023-04-27 11:48:42.378449,2023-04-27,36.65424,245.8409024202531,-15.212220696089657,36.40099,246.5893,209.93506000000002,6.28516,0.934746,0.087892,19.043828,332.743297,36.663567
2023,20230428073717_SHtpX,2023-04-28 07:37:17.508671,2023-04-28,37.457155,246.4192229697818,-14.783584054278842,39.44796,247.07425,209.617095,6.79864,0.957914,0.073707,24.527438,333.405561,37.466825
2023,20230428145855_COdzl,2023-04-28 14:58:55.535051,2023-04-28,37.755387,247.98839311710603,-15.760144991557912,38.29228,248.73158,210.97619300000002,6.06868,0.953402,0.067848,22.058758,335.606194,37.762883
2023,20230429090317_3F8rw,2023-04-29 09:03:17.453003,2023-04-29,38.487422,248.87949271679008,-15.431582218941204,37.28628,249.53706,211.049638,6.51992,0.944701,0.074892,22.007355,334.870586,38.497374
2023,20230429154713_gRlzV,2023-04-29 15:47:13.820517,2023-04-29,38.760031,247.8843683167077,-14.64661527126214,37.82582,248.46305,209.703019,7.15444,0.944744,0.083782,23.22196,332.517617,38.765124
2023,20230430112510_R3y4j,2023-04-30 11:25:10.052978,2023-04-30,39.554738,248.7519534356509,-14.631192044520555,37.89602,249.29755,209.74281200000001,7.29404,0.945102,0.083606,23.773715,332.519708,39.562618
2024,20240426053939_W3Fc4,2024-04-26 05:39:39.914765,2024-04-26,36.151014,246.96935737221617,-13.974395020561207,36.78791,247.47523,211.324216,7.68212,0.937657,0.080779,24.808672,334.227061,36.160287
2024,20240426080141_SvPi3,2024-04-26 08:01:41.330665,2024-04-26,36.246959,246.13116333301397,-15.390236658287012,37.12275,246.89633,210.649371,6.15511,0.943095,0.077395,20.266965,334.393161,36.259858
2024,20240426174706_dAiNC,2024-04-26 17:47:06.443101,2024-04-26,36.642392,247.33444753089464,-13.639793365442152,35.02836,247.7761,211.133708,8.06791,0.919762,0.095027,22.869711,332.884655,36.64786
2024,20240426175119_GStop,2024-04-26 17:51:19.987291,2024-04-26,36.645246,247.25133864514407,-14.406742185399724,36.77625,247.81563,211.170384,7.29773,0.938382,0.080263,23.5678,334.269312,36.655876
2024,20240426234906_41XAG,2024-04-26 23:49:06.253113,2024-04-26,36.886871,248.55154022837513,-15.240208123213876,36.83661,249.19406,212.307189,6.66329,0.943708,0.069736,23.075373,336.472434,36.896612
2024,20240428085039_OtjIt,2024-04-28 08:50:39.287934,2024-04-28,38.224626,246.7549254125602,-15.060485604135122,38.95837,247.44106,209.216434,6.57689,0.954272,0.078313,22.658486,332.691102,38.235243
2024,20240428123539_T6Djd,2024-04-28 12:35:39.041305,2024-04-28,38.376468,248.84339330074678,-12.852503491926921,36.69336,249.12514,210.748672,9.06675,0.931047,0.091928,27.624616,332.206583,38.382186
2024,20240428132311_4Rw3t,2024-04-28 13:23:11.025151,2024-04-28,38.408545,248.1397338451048,-14.382894867459314,40.12267,248.66954,210.260995,7.45229,0.961755,0.068547,28.646442,334.269204,38.414228
2024,20240428132723_YoJCh,2024-04-28 13:27:23.732129,2024-04-28,38.411387,247.67984584588768,-14.760102481421997,37.59801,248.28334,209.87195300000002,7.01228,0.943397,0.083294,22.667321,332.811834,38.419003
2024,20240429005404_1ywsu,2024-04-29 00:54:04.258484,2024-04-29,38.87473,247.83422659162653,-14.524965616927943,37.85142,248.39617,209.52144,7.26736,0.944263,0.085445,23.382702,332.156559,38.885586
2024,20240429005752_ggjMN,2024-04-29 00:57:52.405668,2024-04-29,38.877295,248.33361373924427,-15.040897533615256,38.17536,248.955,210.077705,6.82947,0.948968,0.077593,23.225692,333.565191,38.887905
2024,20240429085626_mNMgb,2024-04-29 08:56:26.532962,2024-04-29,39.200156,249.9065504560462,-14.344524285246916,35.26074,250.3728,211.17264400000002,7.73614,0.923418,0.091709,22.448489,333.273934,39.212314
2024,20240429152411_ReB2Q,2024-04-29 15:24:11.144332,2024-04-29,39.461709,248.14410078781822,-14.463257736566705,38.13281,248.68586,209.224151,7.37346,0.945909,0.08644,23.781006,331.709541,39.467888
2024,20240430044813_8cTT0,2024-04-30 04:48:13.624163,2024-04-30,40.003979,249.8562727964595,-14.498809358301612,35.91741,250.34563,210.341651,7.57661,0.928006,0.092771,22.239745,332.395305,40.012189
2025,20250424014938_M20Bz,2025-04-24 01:49:38.278059,2025-04-24,33.79407,242.86247402678978,-13.18744110090854,39.55997,243.37025,209.57618,7.7783,0.955917,0.078233,27.511945,332.483706,33.802132
2025,20250424113355_orZBq,2025-04-24 11:33:55.038422,2025-04-24,34.189492,244.87662253651087,-13.841581537553209,38.2332,245.43165,211.242158,7.4806,0.949345,0.072481,26.549929,334.867234,34.196226
2025,20250424205212_hkMYq,2025-04-24 20:52:12.815328,2025-04-24,34.567261,243.79332880113972,-12.869241535501208,37.80698,244.21314,209.645879,8.25481,0.940874,0.08985,26.029842,331.464788,34.575917
2025,20250425061734_4DlAc,2025-04-25 06:17:34.281467,2025-04-25,34.949737,246.33239354478968,-14.816758441507318,36.37856,246.99617,212.046433,6.75242,0.938579,0.074962,22.259998,335.709493,34.95791
