geo_region,year,unique_trajectory_identifier,beginning_utc_time,sol_lon_deg,sun_centered_lon,betgeo_deg,vgeo_km_s,e,q_au,i_deg,peri_deg,node_deg,participating_stations,station_countries
Americas,2022,20220425100930_QG7RH,2022-04-25 10:09:30.126124,34.889266,-148.883966,6.96634,37.34661,0.943646,0.07615,23.414081,334.652316,34.899447,"['US000U', 'USL004', 'USL005', 'USL008', 'USL00C', 'USL00G', 'USL00M']",US
Americas,2022,20220427103501_S8NEe,2022-04-27 10:35:01.806772,36.853651,-149.51262100000002,7.29682,39.40306,0.9573,0.070287,27.111133,334.390985,36.862568,"['MX000B', 'MX000C']",MX
Americas,2022,20220428055316_V9cWu,2022-04-28 05:53:16.998967,37.636214,-149.119574,7.47577,37.67188,0.944547,0.077908,25.180957,334.071739,37.639425,"['BR000F', 'BR000Q']",BR
Americas,2022,20220428084048_l3J68,2022-04-28 08:40:48.603711,37.749377,-149.215287,7.80998,37.92234,0.945385,0.078658,26.427882,333.75749,37.757502,"['US0022', 'USL00A', 'USL00B', 'USL00E', 'USL012', 'USV003']",US
Americas,2022,20220430064940_Xyt8z,2022-04-30 06:49:40.941465,39.618802,-150.57692200000002,8.56297,37.38734,0.936451,0.095272,25.985426,330.715542,39.625652,"['USL00J', 'USL00X', 'USL011', 'USL012']",US
Americas,2022,20220430085701_wz5l2,2022-04-30 08:57:01.152127,39.704731,-149.59185100000002,6.61876,36.87235,0.939382,0.08252,21.044893,333.548314,39.715678,"['USL00A', 'USL00J', 'USL00Y']",US
Americas,2023,20230428073717_SHtpX,2023-04-28 07:37:17.508671,37.457155,-150.382905,6.79864,39.44796,0.957914,0.073707,24.527438,333.405561,37.466825,"['CA000B', 'CA002L']",CA
Americas,2023,20230429090317_3F8rw,2023-04-29 09:03:17.453003,38.487422,-148.95036200000004,6.51992,37.28628,0.944701,0.074892,22.007355,334.870586,38.497374,"['USL00B', 'USL00D']",US
Americas,2024,20240426053939_W3Fc4,2024-04-26 05:39:39.914765,36.151014,-148.67578400000002,7.68212,36.78791,0.937657,0.080779,24.808672,334.227061,36.160287,"['CA000E', 'CA002L', 'CA0032']",CA
Americas,2024,20240426080141_SvPi3,2024-04-26 08:01:41.330665,36.246959,-149.35062900000003,6.15511,37.12275,0.943095,0.077395,20.266965,334.393161,36.259858,"['CA001R', 'CA002H']",CA
Americas,2024,20240428085039_OtjIt,2024-04-28 08:50:39.287934,38.224626,-150.783566,6.57689,38.95837,0.954272,0.078313,22.658486,332.691102,38.235243,"['USL008', 'USL00D']",US
Americas,2024,20240429085626_mNMgb,2024-04-29 08:56:26.532962,39.200156,-148.827356,7.73614,35.26074,0.923418,0.091709,22.448489,333.273934,39.212314,"['US0038', 'US0039', 'US003N', 'US003P']",US
Americas,2024,20240430044813_8cTT0,2024-04-30 04:48:13.624163,40.003979,-149.658349,7.57661,35.91741,0.928006,0.092771,22.239745,332.395305,40.012189,"['US002X', 'US002Y', 'US004C']",US
Americas,2025,20250425061734_4DlAc,2025-04-25 06:17:34.281467,34.949737,-147.95356700000002,6.75242,36.37856,0.938579,0.074962,22.259998,335.709493,34.95791,"['US0003', 'US0005', 'US0009', 'US000H']",US
Americas,2025,20250425063625_FffqS,2025-04-25 06:36:25.323411,34.96249,-148.75452,7.6561,37.63267,0.944243,0.076598,26.017021,334.450663,34.969191,"['US0020', 'USL015']",US
Americas,2025,20250425092149_UkyHc,2025-04-25 09:21:49.672478,35.074376,-150.07766600000002,7.86709,39.56823,0.956196,0.076141,28.280711,332.988185,35.082517,"['USL00X', 'USL011', 'USL012', 'USL01E']",US
Americas,2025,20250425094115_SdkSh,2025-04-25 09:41:15.935675,35.087524,-147.27820399999996,7.91591,36.62078,0.93879,0.073881,26.737782,335.990369,35.09652,"['US000J', 'USL004', 'USL01C']",US
