year,event_key,unique_trajectory_identifier,beginning_utc_time,sol_lon_deg,sun_centered_lon,betgeo_deg,vgeo_km_s,e,q_au,i_deg,peri_deg,node_deg,orbit_d_to_frozen,num_stat,medianfiterr_arcsec,participating_stations,parsed_station_ids,night
2019,20190426085951,20190426085951_3aQpr,2019-04-26 08:59:51.129559,35.592258,-149.509248,6.64307,37.47322,0.944275,0.078338,22.017644,333.978917,35.601697,0.07546631091801854,2,46.81,"['US0004', 'US0007']",US0004;US0007,2019-04-26 00:00:00+00:00
2020,20200426112324,20200426112324_EgClp,2020-04-26 11:23:24.865175,36.415659,-148.915619,7.43858,37.03801,0.939873,0.080142,24.252782,334.099425,36.425322,0.0321288795133835,3,61.92,"['US0005', 'US000C', 'US000M']",US0005;US000C;US000M,2020-04-26 00:00:00+00:00
2020,20200426222355,20200426222355_0uEbF,2020-04-26 22:23:55.842450,36.862007,-149.11228700000004,6.35913,38.53169,0.954172,0.068336,23.234583,335.356949,36.869517,0.04163019308134786,2,51.07,"['HR0006', 'HR000U']",HR0006;HR000U,2020-04-26 00:00:00+00:00
2020,20200427084728,20200427084728_0uUPb,2020-04-27 08:47:28.930769,37.283267,-148.96556699999996,8.12975,39.09725,0.953751,0.072169,29.83355,334.366838,37.290003,0.08569015971269514,3,80.86,"['US0005', 'US000H', 'US000M']",US0005;US000H;US000M,2020-04-27 00:00:00+00:00
2020,20200430100622,20200430100622_Rto22,2020-04-30 10:06:22.820441,40.252047,-148.32297700000004,6.24283,37.40403,0.948016,0.06886,22.051474,336.10859,40.262301,0.09500267868244619,2,57.2,"['US0004', 'US0005']",US0004;US0005,2020-04-30 00:00:00+00:00
2021,20210425231013,20210425231013_7kQzX,2021-04-25 23:10:13.731225,35.667319,-149.437499,7.06722,37.89338,0.946884,0.076875,24.002437,334.019102,35.674331,0.04485587401547629,2,45.1,"['UK000R', 'UK001Y']",UK000R;UK001Y,2021-04-25 00:00:00+00:00
2022,20220425100930,20220425100930_QG7RH,2022-04-25 10:09:30.126124,34.889266,-148.883966,6.96634,37.34661,0.943646,0.07615,23.414081,334.652316,34.899447,0.05717483167048554,7,55.28,"['US000U', 'USL004', 'USL005', 'USL008', 'USL00C', 'USL00G', 'USL00M']",US000U;USL004;USL005;USL008;USL00C;USL00G;USL00M,2022-04-25 00:00:00+00:00
2022,20220425214316,20220425214316_g1mDj,2022-04-25 21:43:16.375296,35.35848,-148.81792000000002,7.39992,37.41408,0.943143,0.077089,24.853026,334.468645,35.366903,0.036888935202437106,2,9.77,"['RU000M', 'RU0013']",RU000M;RU0013,2022-04-25 00:00:00+00:00
2022,20220427103501,20220427103501_S8NEe,2022-04-27 10:35:01.806772,36.853651,-149.51262100000002,7.29682,39.40306,0.9573,0.070287,27.111133,334.390985,36.862568,0.03497751345890784,2,58.68,"['MX000B', 'MX000C']",MX000B;MX000C,2022-04-27 00:00:00+00:00
2022,20220427212848,20220427212848_4FpBh,2022-04-27 21:28:48.126253,37.295403,-149.40921300000002,7.32508,37.10216,0.939618,0.082719,23.51063,333.451406,37.304363,0.03978201475027804,2,7.53,"['RU000M', 'RU0013']",RU000M;RU0013,2022-04-27 00:00:00+00:00
