fit_error_arcsec,minimum_stations,radiant_sigma_radius,time_half_width_deg,activity_table,odds_ratio,activity_p,members,members_by_year,represented_years,orbit_median_d,orbit_q90_d,maximum_cross_year_medoid_d,eligible,passed
120.0,2,2.5,3.0,"[[74, 10842], [36, 39769]]",7.539880915780197,8.95231356390019e-25,74,"{'2022': 9, '2023': 6, '2024': 9, '2025': 27, '2026': 23}",5,0.03863720270352316,0.07892750162306639,0.04077520923767825,True,True
120.0,2,2.5,4.0,"[[79, 14328], [36, 39769]]",6.090931121657671,4.751957972875109e-21,79,"{'2022': 9, '2023': 6, '2024': 10, '2025': 30, '2026': 24}",5,0.03978201475027804,0.07880833540853849,0.05044011767558817,True,True
120.0,2,2.5,5.0,"[[86, 17392], [36, 39769]]",5.462495527956659,1.1393301458523635e-19,86,"{'2022': 9, '2023': 6, '2024': 11, '2025': 31, '2026': 29}",5,0.04248808276700039,0.0962781588853284,0.05044011767558817,True,True
120.0,2,3.0,3.0,"[[84, 10832], [64, 39741]]",4.815367660635155,1.0978107020934269e-20,84,"{'2022': 9, '2023': 8, '2024': 11, '2025': 30, '2026': 26}",5,0.04241631550572261,0.08652912029399533,0.05044011767558817,True,True
120.0,2,3.0,4.0,"[[91, 14316], [64, 39741]]",3.9471035467309306,3.6417447868796065e-17,91,"{'2022': 9, '2023': 8, '2024': 12, '2025': 33, '2026': 29}",5,0.04404321541797991,0.08440939334124593,0.05044011767558817,True,True
120.0,2,3.0,5.0,"[[100, 17378], [64, 39741]]",3.5732139774427436,7.377453526804436e-16,100,"{'2022': 9, '2023': 9, '2024': 13, '2025': 35, '2026': 34}",5,0.046851151313861084,0.10402064921360607,0.049960106986179746,True,True
120.0,2,3.5,3.0,"[[93, 10823], [106, 39699]]",3.2181700745616864,2.341951119057351e-15,93,"{'2022': 10, '2023': 11, '2024': 11, '2025': 31, '2026': 30}",5,0.04499975530730472,0.09392619793435524,0.05044011767558817,True,True
120.0,2,3.5,4.0,"[[109, 14298], [106, 39699]]",2.855123556005986,4.2057305708162e-14,109,"{'2022': 11, '2023': 12, '2024': 12, '2025': 37, '2026': 37}",5,0.049960106986179746,0.12079383045530014,0.05596257915434147,True,True
120.0,2,3.5,5.0,"[[124, 17354], [106, 39699]]",2.6760596763075664,1.308896880961009e-13,124,"{'2022': 11, '2023': 14, '2024': 13, '2025': 40, '2026': 46}",5,0.055019106791508565,0.13316697831164745,0.049960106986179746,True,True
120.0,3,2.5,3.0,"[[39, 5667], [14, 20445]]",10.050102094834758,1.2570085877015947e-15,39,"{'2022': 3, '2023': 3, '2024': 5, '2025': 10, '2026': 18}",5,0.03865470729566165,0.06815805647843451,0.06850863635250068,True,True
