source,year,id,sol,sunlon,beta,vg,e,q,inc,peri_norm,node,orbit_d_to_gmn
CAMS,2011,06365,35.825258664969176,-150.76457514276842,6.341902690574261,37.3,0.941,0.086,19.8,332.3,35.7,0.11375629713973306
CAMS,2011,06505,36.83564324107923,-149.16704794562588,7.281588167215828,38.92,0.955,0.07,26.9,334.9,36.7,0.042357348423158664
CAMS,2012,058095,37.573125613327036,-148.93004458778785,6.7230360197543915,37.15,0.943,0.075,22.5,334.9,37.4,0.04603270676257393
CAMS,2012,058253,38.53467482692017,-150.03324814592838,7.00509126414782,39.82,0.961,0.069,26.5,334.3,38.4,0.0445281820897163
CAMS,2012,058294,38.597239213799895,-149.50999051304393,7.699146912857178,38.19,0.948,0.077,26.6,333.8,38.4,0.039180557201566595
CAMS,2012,058420,39.57400318615553,-151.249826342941,6.876974316705725,37.31,0.94,0.091,20.8,331.2,39.4,0.07508429446142115
SonotaCo,2022,2022/04/25T13:17:27,35.0164,-149.5062855168258,7.746268477024233,37.916,0.9447,0.081,25.8528,333.3439,35.0172,0.05564795529166775
SonotaCo,2022,2022/04/29T17:13:16,39.0678,-149.87033604681858,7.251313200378356,38.025,0.9467,0.08,24.2578,333.2165,39.0684,0.017230503215407457
SonotaCo,2023,2023/04/27T13:08:10,36.7079,-149.66110021864336,7.146350400980614,37.01,0.9389,0.084,22.6284,333.1467,36.708,0.05069475912152295
SonotaCo,2025,2025/04/29T16:19:30,39.2486,-149.5636139302389,7.633057904312515,36.222,0.9308,0.091,22.8862,332.5923,39.2491,0.03917466483527998
