code,year,members,p,median_d,q90_d,passed,error
NMV,2019,0,1.0,,,False,
NMV,2020,5,0.45,0.09359846144153042,0.13964026523401665,False,
NMV,2021,11,0.005,0.058135775410237095,0.09701452909490006,True,
NMV,2022,8,0.005,0.09624072817664667,0.11882058712706704,True,
NMV,2023,17,0.005,0.09387198321706747,0.13072278756947917,True,
NMV,2024,19,0.005,0.06337689613547993,0.1369225261446421,True,
NMV,2025,52,0.005,0.0795149678833795,0.13439945317599644,True,
EOC,2019,0,1.0,,,False,
EOC,2020,2,0.07,0.1086726176052062,0.10884392879698707,False,
EOC,2021,1,0.55,0.07103830210464593,0.07103830210464593,False,
EOC,2022,0,1.0,,,False,
EOC,2023,11,0.005,0.08651729970469843,0.10846701303350456,True,
EOC,2024,21,0.005,0.08749213993232105,0.12963505325567498,True,
EOC,2025,25,0.005,0.08752170442695534,0.11907508280733689,True,
