held_out_event,feature,coefficient,C
EDR001,D_e_normalized,0.0,3.0
EDR001,D_e_normalized_abs,0.0,3.0
EDR001,E_prime_normalized,0.0,3.0
EDR001,E_parallel_fraction,0.0,3.0
EDR001,J_parallel_fraction,0.0,3.0
EDR001,J_parallel_fraction_abs,0.0,3.0
EDR001,J_perpendicular_fraction,0.0,3.0
EDR001,Q,0.0668725665807707,3.0
EDR001,pressure_anisotropy,0.0,3.0
EDR001,pressure_deviatoric_fraction,0.0,3.0
EDR001,eigenvalue_min_max_ratio,0.0,3.0
EDR001,eigenvalue_mid_max_ratio,0.0,3.0
EDR001,electron_beta,0.04193868071979684,3.0
EDR001,thermal_current_fraction,0.6682526606814825,3.0
EDR003,D_e_normalized,0.0,3.0
EDR003,D_e_normalized_abs,0.0,3.0
EDR003,E_prime_normalized,0.0,3.0
EDR003,E_parallel_fraction,0.0,3.0
EDR003,J_parallel_fraction,0.0,3.0
EDR003,J_parallel_fraction_abs,0.0,3.0
EDR003,J_perpendicular_fraction,0.0,3.0
EDR003,Q,0.0659772774600851,3.0
EDR003,pressure_anisotropy,0.0,3.0
EDR003,pressure_deviatoric_fraction,0.0,3.0
EDR003,eigenvalue_min_max_ratio,0.0,3.0
EDR003,eigenvalue_mid_max_ratio,0.0,3.0
EDR003,electron_beta,0.038421403855760414,3.0
EDR003,thermal_current_fraction,0.6494727069508106,3.0
EDR007,D_e_normalized,0.0,3.0
EDR007,D_e_normalized_abs,0.0,3.0
EDR007,E_prime_normalized,0.0,3.0
EDR007,E_parallel_fraction,0.0,3.0
EDR007,J_parallel_fraction,0.0,3.0
EDR007,J_parallel_fraction_abs,0.0,3.0
EDR007,J_perpendicular_fraction,0.0,3.0
EDR007,Q,0.062283230120135806,3.0
EDR007,pressure_anisotropy,0.0,3.0
EDR007,pressure_deviatoric_fraction,0.0,3.0
EDR007,eigenvalue_min_max_ratio,0.0,3.0
EDR007,eigenvalue_mid_max_ratio,0.0,3.0
EDR007,electron_beta,0.028840439474299803,3.0
EDR007,thermal_current_fraction,0.6515961618896376,3.0
EDR011,D_e_normalized,0.0,3.0
EDR011,D_e_normalized_abs,0.0,3.0
EDR011,E_prime_normalized,0.0,3.0
EDR011,E_parallel_fraction,0.0,3.0
EDR011,J_parallel_fraction,0.0,3.0
EDR011,J_parallel_fraction_abs,0.0,3.0
EDR011,J_perpendicular_fraction,0.0,3.0
EDR011,Q,0.06528131174253228,3.0
EDR011,pressure_anisotropy,0.0,3.0
EDR011,pressure_deviatoric_fraction,0.0,3.0
EDR011,eigenvalue_min_max_ratio,0.0,3.0
EDR011,eigenvalue_mid_max_ratio,0.0,3.0
EDR011,electron_beta,0.039169688687702736,3.0
EDR011,thermal_current_fraction,0.6627200054127058,3.0
EDR013,D_e_normalized,0.0,3.0
EDR013,D_e_normalized_abs,0.0,3.0
EDR013,E_prime_normalized,0.0,3.0
EDR013,E_parallel_fraction,0.0,3.0
EDR013,J_parallel_fraction,0.0,3.0
EDR013,J_parallel_fraction_abs,0.0,3.0
EDR013,J_perpendicular_fraction,0.0,3.0
EDR013,Q,0.05976976190219447,3.0
EDR013,pressure_anisotropy,0.0,3.0
EDR013,pressure_deviatoric_fraction,0.0,3.0
EDR013,eigenvalue_min_max_ratio,0.0,3.0
EDR013,eigenvalue_mid_max_ratio,0.0,3.0
EDR013,electron_beta,0.05160833878988412,3.0
EDR013,thermal_current_fraction,0.6363910545655034,3.0
EDR014,D_e_normalized,0.0,3.0
EDR014,D_e_normalized_abs,0.0,3.0
EDR014,E_prime_normalized,0.0,3.0
EDR014,E_parallel_fraction,0.0,3.0
EDR014,J_parallel_fraction,0.0,3.0
EDR014,J_parallel_fraction_abs,0.0,3.0
EDR014,J_perpendicular_fraction,0.0,3.0
EDR014,Q,0.06495522344114464,3.0
EDR014,pressure_anisotropy,0.0,3.0
EDR014,pressure_deviatoric_fraction,0.0,3.0
EDR014,eigenvalue_min_max_ratio,0.0,3.0
EDR014,eigenvalue_mid_max_ratio,0.0,3.0
EDR014,electron_beta,0.03572846228280051,3.0
EDR014,thermal_current_fraction,0.6819855668424479,3.0
EDR015,D_e_normalized,0.0,3.0
EDR015,D_e_normalized_abs,0.0,3.0
EDR015,E_prime_normalized,0.0,3.0
EDR015,E_parallel_fraction,0.0,3.0
EDR015,J_parallel_fraction,0.0,3.0
EDR015,J_parallel_fraction_abs,0.0,3.0
EDR015,J_perpendicular_fraction,0.0,3.0
EDR015,Q,0.0646510191528292,3.0
EDR015,pressure_anisotropy,0.0,3.0
EDR015,pressure_deviatoric_fraction,0.0,3.0
EDR015,eigenvalue_min_max_ratio,0.0,3.0
EDR015,eigenvalue_mid_max_ratio,0.0,3.0
EDR015,electron_beta,0.03906341946570351,3.0
EDR015,thermal_current_fraction,0.6401539558613857,3.0
EDR017,D_e_normalized,0.0,3.0
