noise_fraction,trial,method,auprc,improvement_survives
0.005,0,baseline:D_e_abs,0.3858815900358635,False
0.005,0,baseline:D_e_normalized,0.05540146770018478,False
0.005,0,baseline:D_e_positive,0.3166133568870386,False
0.005,0,baseline:E_parallel_abs,0.2323811403111793,False
0.005,0,baseline:E_prime_magnitude,0.2211886193753647,False
0.005,0,baseline:J_magnitude,0.7201439906291709,False
0.005,0,baseline:Q,0.38167179733257545,False
0.005,0,baseline:pressure_anisotropy_abs,0.15494857341240276,False
0.005,0,nonlinear_invariant,0.5823524091480724,False
0.005,0,sparse_invariant,0.6209490276477632,False
0.005,1,baseline:D_e_abs,0.38529927303824424,False
0.005,1,baseline:D_e_normalized,0.05211833712408337,False
0.005,1,baseline:D_e_positive,0.3165779845593379,False
0.005,1,baseline:E_parallel_abs,0.22981942441394265,False
0.005,1,baseline:E_prime_magnitude,0.22194881373547315,False
0.005,1,baseline:J_magnitude,0.7196930828404646,False
0.005,1,baseline:Q,0.39503726622888685,False
0.005,1,baseline:pressure_anisotropy_abs,0.1544558220189333,False
0.005,1,nonlinear_invariant,0.5846702366317803,False
0.005,1,sparse_invariant,0.6195652024626331,False
0.005,2,baseline:D_e_abs,0.3865629614199209,False
0.005,2,baseline:D_e_normalized,0.05356915558998785,False
0.005,2,baseline:D_e_positive,0.3159079715059822,False
0.005,2,baseline:E_parallel_abs,0.23398401438212793,False
0.005,2,baseline:E_prime_magnitude,0.22158836702147736,False
0.005,2,baseline:J_magnitude,0.72148841606782,False
0.005,2,baseline:Q,0.39095804628931674,False
0.005,2,baseline:pressure_anisotropy_abs,0.15478564582055096,False
0.005,2,nonlinear_invariant,0.5837717462025879,False
0.005,2,sparse_invariant,0.6132395719831957,False
0.005,3,baseline:D_e_abs,0.38627262262220624,False
0.005,3,baseline:D_e_normalized,0.055370604109367345,False
0.005,3,baseline:D_e_positive,0.31584090651130464,False
0.005,3,baseline:E_parallel_abs,0.23466317375691015,False
0.005,3,baseline:E_prime_magnitude,0.21823910032327787,False
0.005,3,baseline:J_magnitude,0.7210293545067504,False
0.005,3,baseline:Q,0.39372930316035504,False
0.005,3,baseline:pressure_anisotropy_abs,0.15531325172720153,False
0.005,3,nonlinear_invariant,0.5870255333892304,False
0.005,3,sparse_invariant,0.6184399848918076,False
0.005,4,baseline:D_e_abs,0.387788652195078,False
0.005,4,baseline:D_e_normalized,0.05623904044804671,False
0.005,4,baseline:D_e_positive,0.3177476527108494,False
0.005,4,baseline:E_parallel_abs,0.23400297414494642,False
0.005,4,baseline:E_prime_magnitude,0.21866484422274488,False
0.005,4,baseline:J_magnitude,0.7193327603043196,False
0.005,4,baseline:Q,0.38306626971928637,False
0.005,4,baseline:pressure_anisotropy_abs,0.15538093044223447,False
0.005,4,nonlinear_invariant,0.5838007667918617,False
0.005,4,sparse_invariant,0.6133688062340813,False
0.005,5,baseline:D_e_abs,0.3837738013978192,False
0.005,5,baseline:D_e_normalized,0.053239434947008564,False
0.005,5,baseline:D_e_positive,0.3155984630172059,False
0.005,5,baseline:E_parallel_abs,0.2329342353162295,False
