event_id,method,auprc,roc_auc,localization_error_seconds,within_0p15,within_0p30,within_0p60,top_1pct_recall,false_positive_burden,calibration_error,center_shift_seconds
EDR001,baseline:D_e_abs,0.6152180779438411,0.79,0.0,True,True,True,0.3,,,-0.12
EDR001,baseline:D_e_normalized,0.11268487147189599,0.8143333333333334,0.6900000000000004,False,False,False,0.0,,,-0.12
EDR001,baseline:D_e_positive,0.6967258064516129,0.8761666666666668,0.0,True,True,True,0.4,,,-0.12
EDR001,baseline:E_parallel_abs,0.43477257441415257,0.7726666666666666,0.0,True,True,True,0.3,,,-0.12
EDR001,baseline:E_prime_magnitude,0.2838545276234063,0.888,2.25,False,False,False,0.2,,,-0.12
EDR001,baseline:J_magnitude,0.6511217437533227,0.9553333333333334,0.0,True,True,True,0.4,,,-0.12
EDR001,baseline:Q,0.5580614082656143,0.918,3.21,False,False,False,0.3,,,-0.12
EDR001,baseline:pressure_anisotropy_abs,0.7748805627908011,0.9833333333333333,0.03000000000000025,True,True,True,0.4,,,-0.12
EDR001,nonlinear_invariant,0.5828757353757353,0.977,0.0,True,True,True,0.2,0.004465898379494152,0.02740035840629313,-0.12
EDR001,sparse_invariant,0.4301776460254721,0.9313333333333333,0.0,True,True,True,0.2,0.01939186257217844,0.011371595768434758,-0.12
EDR003,baseline:D_e_abs,0.02260713609043382,0.6006349206349206,1.5600000000000005,False,False,False,0.0,,,-0.12
EDR003,baseline:D_e_normalized,0.013324268411602521,0.3244444444444444,4.709999999999999,False,False,False,0.0,,,-0.12
EDR003,baseline:D_e_positive,0.016796073788964576,0.4584126984126984,1.5600000000000005,False,False,False,0.0,,,-0.12
EDR003,baseline:E_parallel_abs,0.026869239692001865,0.540952380952381,5.13,False,False,False,0.0,,,-0.12
EDR003,baseline:E_prime_magnitude,0.06906827579204611,0.6425396825396825,5.46,False,False,False,0.2,,,-0.12
EDR003,baseline:J_magnitude,0.2193803418803419,0.9619047619047619,0.8399999999999999,False,False,False,0.2,,,-0.12
EDR003,baseline:Q,0.03913113780243034,0.7326984126984126,5.1,False,False,False,0.0,,,-0.12
EDR003,baseline:pressure_anisotropy_abs,0.011145598593993741,0.19047619047619047,3.42,False,False,False,0.0,,,-0.12
EDR003,nonlinear_invariant,0.2788035305655443,0.7676190476190475,0.02999999999999936,True,True,True,0.2,0.00987194889505776,0.008502089233386481,-0.12
EDR003,sparse_invariant,0.09599483029285985,0.8552380952380951,5.1,False,False,False,0.2,0.032254339456142464,0.018388193431763136,-0.12
EDR007,baseline:D_e_abs,0.13826362783419258,0.7142857142857142,5.85,False,False,False,0.14285714285714285,,,-0.12
EDR007,baseline:D_e_normalized,0.02056220227073446,0.3975563909774436,0.33000000000000007,False,False,True,0.0,,,-0.12
